Date,Time (EST),Time (24hr),Datetime,Subject,Company
05/26/18,1:56 pm,13:56:00,05/26/18 13:56:00 EST,Steam Privacy Policy Update,Steam
05/26/18,12:34 am,00:34:00,05/26/18 00:34:00 EST,StackShare Privacy Policy Update,StackShare
05/25/18,11:45 pm,23:45:00,05/25/18 23:45:00 EST,"*****, we're updating our Terms, Data Policy and Cookies Policy",Facebook
05/25/18,4:54 pm,16:54:00,05/25/18 16:54:00 EST,Updates to our Privacy Policy,GitKraken
05/25/18,3:17 pm,15:17:00,05/25/18 15:17:00 EST,Updated Privacy Policy and Terms of Service,HackerEarth
05/25/18,11:06 am,11:06:00,05/25/18 11:06:00 EST,"ðŸ˜®Yup, yet another GDPR email",Enki
05/25/18,10:54 am,10:54:00,05/25/18 10:54:00 EST,Happy GDPR day!Â ðŸ’¥Â ,Travis CI
05/25/18,7:04 am,07:04:00,05/25/18 07:04:00 EST,Updates to Codacyâ€™s Privacy Policy,Codacy
05/25/18,5:20 am,05:20:00,05/25/18 05:20:00 EST,Updates to Sauce Labs Privacy Policy,Sauce Labs
05/25/18,2:01 am,02:01:00,05/25/18 02:01:00 EST,Reminder: Accept new GitLab.com Terms of Service to prevent service disruption,GitLab
05/25/18,1:34 am,01:34:00,05/25/18 01:34:00 EST,Repl.it and GDPR,Repl.it
05/25/18,1:02 am,01:02:00,05/25/18 01:02:00 EST,Action required: Make sure you continue to receive educational updates from IEEE Spectrum,IEEE
05/24/18,8:08 pm,20:08:00,05/24/18 20:08:00 EST,Don't Lose Access to Your Account (ACTION NEEDED),CodeCombat
05/24/18,6:20 am,06:20:00,05/24/18 06:20:00 EST,Updates to our Terms of Service,Taiga.io
05/23/18,3:18 pm,15:18:00,05/23/18 15:18:00 EST,Updates to our Privacy Policy - Opt-in to continue receiving newsletters!,Faeria
05/23/18,2:00 pm,14:00:00,05/23/18 14:00:00 EST,[Terms of Service and Privacy] What's new,StackOverflow
05/19/18,2:05 pm,14:05:00,05/19/18 14:05:00 EST,"We updated our Privacy Policy, too",Humble Bundle
05/17/18,2:51 am,02:51:00,05/17/18 02:51:00 EST,Action Required: IEEE Privacy Policy Update,IEEE
05/14/18,8:40 pm,20:40:00,05/14/18 20:40:00 EST,We're updating our Privacy Policy,Discord
05/12/18,3:48 pm,15:48:00,05/12/18 15:48:00 EST,Improvements to our Privacy Policy and Privacy Controls,Google
05/11/18,5:10 pm,17:10:00,05/11/18 17:10:00 EST,Update to Our Privacy Policy,Kaggle
05/07/18,8:20 pm,20:20:00,05/07/18 20:20:00 EST,Action Required to Accept IEEE Privacy Policy,IEEE
05/01/18,4:26 am,04:26:00,05/01/18 04:26:00 EST,"Updates to Fitbit, our Privacy Policy, and Terms of Service",Fitbit
04/27/18,9:33 pm,21:33:00,04/27/18 21:33:00 EST,Updates to Atlassian's Privacy Policy,Atlassian
04/27/18,9:26 pm,21:26:00,04/27/18 21:26:00 EST,"IMPORTANT: Updated Privacy Policy, Action Required",IEEE
03/26/18,9:44 pm,21:44:00,03/26/18 21:44:00 EST,Updates to our Terms of Service,LinkedIn
03/21/18,1:23 pm,13:23:00,03/21/18 13:23:00 EST,Weâ€™re updating our Privacy Policy and tools,Slack
